url,Aircraft Name,First Flight,Aircraft Engines
https://asn.flightsafety.org/database/type/C82,Fairchild C-82 Packet, 1944, 2 Piston engines
https://asn.flightsafety.org/database/type/f220,Farman F.220, 1932, 4 Piston engines
https://asn.flightsafety.org/database/type/glth,Farman F.60 Goliath, 1919, 2 Piston engines
https://asn.flightsafety.org/database/type/g212,Fiat G.212, 1947, 3 Piston engines
https://asn.flightsafety.org/database/type/IA50,FMA IA 50 Guaraní II, 1963, 2 Turboprop engines
https://asn.flightsafety.org/database/type/fw2h,Focke-Wulf FW.200 Condor, 1937, 4 Piston engines
https://asn.flightsafety.org/database/type/F100,Fokker 100, 1986, 2 Jet engines
https://asn.flightsafety.org/database/type/F50,Fokker 50, 1985, 2 Turboprop engines
https://asn.flightsafety.org/database/type/F70,Fokker 70, 1993, 2 Jet engines
https://asn.flightsafety.org/database/type/F27,Fokker F-27 Friendship, 1955, 2 Turboprop engines
https://asn.flightsafety.org/database/type/F28,Fokker F-28 Fellowship, 1967, 2 Jet engines
https://asn.flightsafety.org/database/type/f32,Fokker F.32, 1929, 4 Piston engines
https://asn.flightsafety.org/database/type/f12,Fokker F.XII, 1931, 3 Piston engines
https://asn.flightsafety.org/database/type/f20,Fokker F.XX, 1933, 3 Piston engines
https://asn.flightsafety.org/database/type/fo22,Fokker F.XXII, 1935, 4 Piston engines
https://asn.flightsafety.org/database/type/f36,Fokker F.XXXVI, 1934, 4 Piston engines
https://asn.flightsafety.org/database/type/TRIM,Ford Tri-Motor, 1926, 3 Piston engines
https://asn.flightsafety.org/database/type/NOMA,GAF Nomad, 1971, 2 Turboprop engines
https://asn.flightsafety.org/database/type/GSPN,Grob SPn, 2005, 2 Jet engines
https://asn.flightsafety.org/database/type/GLF2,Grumman American G-1159 Gulfstream 2, 1966, 2 Jet engines
https://asn.flightsafety.org/database/type/U16,Grumman G-111 Albatross, 1946, 2 Piston engines
